crew,experiment,time,seat,eeg_fp1,eeg_f7,eeg_f8,eeg_t4,eeg_t6,eeg_t5,eeg_t3,eeg_fp2,eeg_o1,eeg_p3,eeg_pz,eeg_f3,eeg_fz,eeg_f4,eeg_c4,eeg_p4,eeg_poz,eeg_c3,eeg_cz,eeg_o2,ecg,r,gsr,event
1,CA,0.01171875,1,-5.28545,26.775801,-9.52731,-12.7932,16.7178,33.737499,23.712299,-6.6958699999999975,29.2321,24.842899,3.92134,18.447001,1.07547,3.09029,37.368999,17.437599,19.2019,20.5968,-3.95115,14.5076,-4520.0,817.705994,388.829987,A
1,CA,0.01562500,1,-2.42842,28.430901,-9.32351,-3.75723,15.9693,30.4436,21.0103,-6.47472,26.641399,24.1388,5.46991,20.510599,2.83354,7.10177,31.170799,19.3997,19.689501,21.3547,1.33212,17.7502,-4520.0,817.705994,388.829987,A
1,CA,0.01953125,1,10.6715,30.4202,15.3507,24.724001,16.143101,32.142799,25.431801,-0.08870700000000001,28.1199,26.8913,8.57886,23.162901,4.51993,12.7055,-12.0126,19.396299,23.1717,22.4076,1.53786,22.247,-4520.0,817.705994,388.829987,A
1,CA,0.02343750,1,11.4525,25.6098,2.43308,12.4125,20.5333,31.494101,19.142799,-0.256516,30.653601,24.247,8.6431,19.961901,7.27575,11.4598,18.5741,23.156401,22.641199,19.3367,2.5449200000000003,18.9986,-4520.0,817.705994,388.829987,A
1,CA,0.02734375,1,7.28321,25.9426,0.113564,5.7479999999999976,19.833599,28.753599,20.5721,-1.95347,31.722601,25.1555,12.5003,18.746901,7.309760000000002,8.00805,6.555439999999999,22.7547,22.6703,20.2932,1.69962,22.812799,-4520.0,817.705994,388.829987,A
1,CA,0.03125000,1,6.06746,23.1283,8.645660000000001,14.3808,16.0555,26.9252,20.889999,-4.35487,33.799099,22.632099,14.9807,15.0171,7.161060000000001,6.41567,-9.28912,21.440599,23.2537,19.069599,-0.765018,26.4519,-4520.0,817.705994,388.829987,A
1,CA,0.03515625,1,-1.37602,20.972,3.75416,13.7667,18.122,29.391199,21.762899,-6.6916699999999985,34.0471,23.177799,15.5126,14.257,7.69083,3.22675,-0.6047359999999999,20.993401,21.5562,17.327299,1.465,21.289301,-4520.0,817.705994,388.829987,A
1,CA,0.03906250,1,1.54787,18.3981,-9.11315,-1.03316,22.627001,32.816601,19.596001,-4.50403,33.922699,26.17460100000001,15.8712,12.6166,10.4672,2.59115,17.483601,22.9126,23.187,18.4627,0.299232,23.6915,-4520.0,817.705994,388.829987,A
1,CA,0.04296875,1,-7.789460000000001,12.2107,-8.95376,1.09174,28.526501,35.2672,21.5445,-14.6454,36.587299,29.164301,18.209801,10.2869,11.1094,2.7355,16.681101,28.7796,28.382099,20.6973,-6.62075,31.672701,-4520.0,817.705994,388.829987,A
